id,charger_id,date,ticket_type,support_tickets
1,7577,2024-08-01,Technical Support,8
2,7577,2024-08-15,Technical Support,9
3,7577,2024-09-05,Technical Support,6
4,7577,2024-09-20,Technical Support,1
5,7577,2024-10-10,Technical Support,14
6,9434,2024-08-01,Technical Support,0
7,9434,2024-08-15,Technical Support,12
8,9434,2024-09-05,Technical Support,5
9,9434,2024-09-20,Technical Support,13
10,9434,2024-10-10,Technical Support,13
11,2365,2024-08-01,Technical Support,6
12,2365,2024-08-15,Technical Support,2
13,2365,2024-09-05,Technical Support,9
14,2365,2024-09-20,Technical Support,0
15,2365,2024-10-10,Technical Support,2
16,6638,2024-08-01,Technical Support,3
17,6638,2024-08-15,Technical Support,12
18,6638,2024-09-05,Technical Support,15
19,6638,2024-09-20,Technical Support,5
20,6638,2024-10-10,Technical Support,6
21,3038,2024-08-01,Technical Support,8
22,3038,2024-08-15,Technical Support,7
23,3038,2024-09-05,Technical Support,13
24,3038,2024-09-20,Technical Support,1
25,3038,2024-10-10,Technical Support,15
26,8601,2024-08-01,Technical Support,10
27,8601,2024-08-15,Technical Support,6
28,8601,2024-09-05,Technical Support,6
29,8601,2024-09-20,Technical Support,11
30,8601,2024-10-10,Technical Support,5
31,7131,2024-08-01,Technical Support,1
32,7131,2024-08-15,Technical Support,12
33,7131,2024-09-05,Technical Support,3
34,7131,2024-09-20,Technical Support,11
35,7131,2024-10-10,Technical Support,11
36,5690,2024-08-01,Technical Support,1
37,5690,2024-08-15,Technical Support,1
38,5690,2024-09-05,Technical Support,15
39,5690,2024-09-20,Technical Support,8
40,5690,2024-10-10,Technical Support,0
41,7397,2024-08-01,Technical Support,2
42,7397,2024-08-15,Technical Support,10
43,7397,2024-09-05,Technical Support,7
44,7397,2024-09-20,Technical Support,6
45,7397,2024-10-10,Technical Support,14
46,1748,2024-08-01,Technical Support,0
47,1748,2024-08-15,Technical Support,7
48,1748,2024-09-05,Technical Support,11
49,1748,2024-09-20,Technical Support,15
50,1748,2024-10-10,Technical Support,14
51,7577,2024-08-01,Technical Support,14
52,7577,2024-08-15,Technical Support,12
53,7577,2024-09-05,Technical Support,12
54,7577,2024-09-20,Technical Support,10
55,7577,2024-10-10,Technical Support,9
56,9434,2024-08-01,Technical Support,0
57,9434,2024-08-15,Technical Support,4
58,9434,2024-09-05,Technical Support,0
59,9434,2024-09-20,Technical Support,7
60,9434,2024-10-10,Technical Support,10
61,2365,2024-08-01,Technical Support,4
62,2365,2024-08-15,Technical Support,13
63,2365,2024-09-05,Technical Support,1
64,2365,2024-09-20,Technical Support,13
65,2365,2024-10-10,Technical Support,5
66,6638,2024-08-01,Technical Support,14
67,6638,2024-08-15,Technical Support,10
68,6638,2024-09-05,Technical Support,6
69,6638,2024-09-20,Technical Support,15
70,6638,2024-10-10,Technical Support,8
71,3038,2024-08-01,Technical Support,12
72,3038,2024-08-15,Technical Support,12
73,3038,2024-09-05,Technical Support,12
74,3038,2024-09-20,Technical Support,4
75,3038,2024-10-10,Technical Support,12
76,8601,2024-08-01,Technical Support,12
77,8601,2024-08-15,Technical Support,6
78,8601,2024-09-05,Technical Support,7
79,8601,2024-09-20,Technical Support,6
80,8601,2024-10-10,Technical Support,15
81,7131,2024-08-01,Technical Support,2
82,7131,2024-08-15,Technical Support,7
83,7131,2024-09-05,Technical Support,8
84,7131,2024-09-20,Technical Support,11
85,7131,2024-10-10,Technical Support,13
86,5690,2024-08-01,Technical Support,11
87,5690,2024-08-15,Technical Support,6
88,5690,2024-09-05,Technical Support,0
89,5690,2024-09-20,Technical Support,6
90,5690,2024-10-10,Technical Support,13
91,7397,2024-08-01,Technical Support,10
92,7397,2024-08-15,Technical Support,3
93,7397,2024-09-05,Technical Support,7
94,7397,2024-09-20,Technical Support,2
95,7397,2024-10-10,Technical Support,8
96,1748,2024-08-01,Technical Support,13
97,1748,2024-08-15,Technical Support,8
98,1748,2024-09-05,Technical Support,9
99,1748,2024-09-20,Technical Support,15
100,1748,2024-10-10,Technical Support,12
101,7577,2024-08-01,Technical Support,1
102,7577,2024-08-15,Technical Support,9
103,7577,2024-09-05,Technical Support,8
104,7577,2024-09-20,Technical Support,14
105,7577,2024-10-10,Technical Support,13
106,9434,2024-08-01,Technical Support,0
107,9434,2024-08-15,Technical Support,12
108,9434,2024-09-05,Technical Support,13
109,9434,2024-09-20,Technical Support,12
110,9434,2024-10-10,Technical Support,6
111,2365,2024-08-01,Technical Support,7
112,2365,2024-08-15,Technical Support,9
113,2365,2024-09-05,Technical Support,2
114,2365,2024-09-20,Technical Support,4
115,2365,2024-10-10,Technical Support,7
116,6638,2024-08-01,Technical Support,10
117,6638,2024-08-15,Technical Support,9
118,6638,2024-09-05,Technical Support,1
119,6638,2024-09-20,Technical Support,14
120,6638,2024-10-10,Technical Support,13
121,3038,2024-08-01,Technical Support,11
122,3038,2024-08-15,Technical Support,14
123,3038,2024-09-05,Technical Support,11
124,3038,2024-09-20,Technical Support,15
125,3038,2024-10-10,Technical Support,4
126,8601,2024-08-01,Technical Support,12
127,8601,2024-08-15,Technical Support,5
128,8601,2024-09-05,Technical Support,12
129,8601,2024-09-20,Technical Support,13
130,8601,2024-10-10,Technical Support,14
131,7131,2024-08-01,Technical Support,9
132,7131,2024-08-15,Technical Support,6
133,7131,2024-09-05,Technical Support,12
134,7131,2024-09-20,Technical Support,11
135,7131,2024-10-10,Technical Support,2
136,5690,2024-08-01,Technical Support,9
137,5690,2024-08-15,Technical Support,12
138,5690,2024-09-05,Technical Support,9
139,5690,2024-09-20,Technical Support,2
140,5690,2024-10-10,Technical Support,1
141,7397,2024-08-01,Technical Support,0
142,7397,2024-08-15,Technical Support,8
143,7397,2024-09-05,Technical Support,13
144,7397,2024-09-20,Technical Support,7
145,7397,2024-10-10,Technical Support,7
146,1748,2024-08-01,Technical Support,3
147,1748,2024-08-15,Technical Support,12
148,1748,2024-09-05,Technical Support,3
149,1748,2024-09-20,Technical Support,8
150,1748,2024-10-10,Technical Support,5
151,7577,2024-08-01,Technical Support,8
152,7577,2024-08-15,Technical Support,4
153,7577,2024-09-05,Technical Support,14
154,7577,2024-09-20,Technical Support,11
155,7577,2024-10-10,Technical Support,7
156,9434,2024-08-01,Technical Support,13
157,9434,2024-08-15,Technical Support,13
158,9434,2024-09-05,Technical Support,14
159,9434,2024-09-20,Technical Support,7
160,9434,2024-10-10,Technical Support,13
161,2365,2024-08-01,Technical Support,3
162,2365,2024-08-15,Technical Support,14
163,2365,2024-09-05,Technical Support,14
164,2365,2024-09-20,Technical Support,5
165,2365,2024-10-10,Technical Support,12
166,6638,2024-08-01,Technical Support,14
167,6638,2024-08-15,Technical Support,3
168,6638,2024-09-05,Technical Support,12
169,6638,2024-09-20,Technical Support,3
170,6638,2024-10-10,Technical Support,1
171,3038,2024-08-01,Technical Support,5
172,3038,2024-08-15,Technical Support,5
173,3038,2024-09-05,Technical Support,12
174,3038,2024-09-20,Technical Support,12
175,3038,2024-10-10,Technical Support,7
176,8601,2024-08-01,Technical Support,8
177,8601,2024-08-15,Technical Support,7
178,8601,2024-09-05,Technical Support,13
179,8601,2024-09-20,Technical Support,5
180,8601,2024-10-10,Technical Support,3
181,7131,2024-08-01,Technical Support,1
182,7131,2024-08-15,Technical Support,0
183,7131,2024-09-05,Technical Support,10
184,7131,2024-09-20,Technical Support,7
185,7131,2024-10-10,Technical Support,10
186,5690,2024-08-01,Technical Support,2
187,5690,2024-08-15,Technical Support,13
188,5690,2024-09-05,Technical Support,2
189,5690,2024-09-20,Technical Support,11
190,5690,2024-10-10,Technical Support,0
191,7397,2024-08-01,Technical Support,14
192,7397,2024-08-15,Technical Support,11
193,7397,2024-09-05,Technical Support,7
194,7397,2024-09-20,Technical Support,1
195,7397,2024-10-10,Technical Support,4
196,1748,2024-08-01,Technical Support,6
197,1748,2024-08-15,Technical Support,12
198,1748,2024-09-05,Technical Support,13
199,1748,2024-09-20,Technical Support,0
200,1748,2024-10-10,Technical Support,5
201,7577,2024-08-01,Technical Support,11
202,7577,2024-08-15,Technical Support,12
203,7577,2024-09-05,Technical Support,15
204,7577,2024-09-20,Technical Support,12
205,7577,2024-10-10,Technical Support,4
206,9434,2024-08-01,Technical Support,8
207,9434,2024-08-15,Technical Support,0
208,9434,2024-09-05,Technical Support,14
209,9434,2024-09-20,Technical Support,7
210,9434,2024-10-10,Technical Support,12
211,2365,2024-08-01,Technical Support,2
212,2365,2024-08-15,Technical Support,5
213,2365,2024-09-05,Technical Support,1
214,2365,2024-09-20,Technical Support,4
215,2365,2024-10-10,Technical Support,9
216,6638,2024-08-01,Technical Support,3
217,6638,2024-08-15,Technical Support,5
218,6638,2024-09-05,Technical Support,9
219,6638,2024-09-20,Technical Support,8
220,6638,2024-10-10,Technical Support,2
221,3038,2024-08-01,Technical Support,13
222,3038,2024-08-15,Technical Support,7
223,3038,2024-09-05,Technical Support,0
224,3038,2024-09-20,Technical Support,12
225,3038,2024-10-10,Technical Support,5
226,8601,2024-08-01,Technical Support,1
227,8601,2024-08-15,Technical Support,1
228,8601,2024-09-05,Technical Support,13
229,8601,2024-09-20,Technical Support,5
230,8601,2024-10-10,Technical Support,7
231,7131,2024-08-01,Technical Support,3
232,7131,2024-08-15,Technical Support,15
233,7131,2024-09-05,Technical Support,8
234,7131,2024-09-20,Technical Support,1
235,7131,2024-10-10,Technical Support,2
236,5690,2024-08-01,Technical Support,7
237,5690,2024-08-15,Technical Support,5
238,5690,2024-09-05,Technical Support,3
239,5690,2024-09-20,Technical Support,4
240,5690,2024-10-10,Technical Support,1
241,7397,2024-08-01,Technical Support,9
242,7397,2024-08-15,Technical Support,1
243,7397,2024-09-05,Technical Support,14
244,7397,2024-09-20,Technical Support,10
245,7397,2024-10-10,Technical Support,8
246,1748,2024-08-01,Technical Support,11
247,1748,2024-08-15,Technical Support,15
248,1748,2024-09-05,Technical Support,10
249,1748,2024-09-20,Technical Support,0
250,1748,2024-10-10,Technical Support,7
251,7577,2024-08-01,Technical Support,14
252,7577,2024-08-15,Technical Support,12
253,7577,2024-09-05,Technical Support,10
254,7577,2024-09-20,Technical Support,3
255,7577,2024-10-10,Technical Support,13
256,9434,2024-08-01,Technical Support,5
257,9434,2024-08-15,Technical Support,6
258,9434,2024-09-05,Technical Support,14
259,9434,2024-09-20,Technical Support,15
260,9434,2024-10-10,Technical Support,3
261,2365,2024-08-01,Technical Support,15
262,2365,2024-08-15,Technical Support,10
263,2365,2024-09-05,Technical Support,13
264,2365,2024-09-20,Technical Support,5
265,2365,2024-10-10,Technical Support,6
266,6638,2024-08-01,Technical Support,7
267,6638,2024-08-15,Technical Support,0
268,6638,2024-09-05,Technical Support,8
269,6638,2024-09-20,Technical Support,8
270,6638,2024-10-10,Technical Support,8
271,3038,2024-08-01,Technical Support,3
272,3038,2024-08-15,Technical Support,0
273,3038,2024-09-05,Technical Support,1
274,3038,2024-09-20,Technical Support,10
275,3038,2024-10-10,Technical Support,15
276,8601,2024-08-01,Technical Support,12
277,8601,2024-08-15,Technical Support,12
278,8601,2024-09-05,Technical Support,11
279,8601,2024-09-20,Technical Support,10
280,8601,2024-10-10,Technical Support,1
281,7131,2024-08-01,Technical Support,1
282,7131,2024-08-15,Technical Support,15
283,7131,2024-09-05,Technical Support,3
284,7131,2024-09-20,Technical Support,11
285,7131,2024-10-10,Technical Support,7
286,5690,2024-08-01,Technical Support,0
287,5690,2024-08-15,Technical Support,9
288,5690,2024-09-05,Technical Support,2
289,5690,2024-09-20,Technical Support,3
290,5690,2024-10-10,Technical Support,2
291,7397,2024-08-01,Technical Support,4
292,7397,2024-08-15,Technical Support,0
293,7397,2024-09-05,Technical Support,7
294,7397,2024-09-20,Technical Support,5
295,7397,2024-10-10,Technical Support,8
296,1748,2024-08-01,Technical Support,1
297,1748,2024-08-15,Technical Support,9
298,1748,2024-09-05,Technical Support,4
299,1748,2024-09-20,Technical Support,1
300,1748,2024-10-10,Technical Support,0
301,7577,2024-08-01,Technical Support,4
302,7577,2024-08-15,Technical Support,14
303,7577,2024-09-05,Technical Support,0
304,7577,2024-09-20,Technical Support,14
305,7577,2024-10-10,Technical Support,2
306,9434,2024-08-01,Technical Support,0
307,9434,2024-08-15,Technical Support,7
308,9434,2024-09-05,Technical Support,11
309,9434,2024-09-20,Technical Support,11
310,9434,2024-10-10,Technical Support,1
311,2365,2024-08-01,Technical Support,4
312,2365,2024-08-15,Technical Support,12
313,2365,2024-09-05,Technical Support,7
314,2365,2024-09-20,Technical Support,11
315,2365,2024-10-10,Technical Support,6
316,6638,2024-08-01,Technical Support,3
317,6638,2024-08-15,Technical Support,7
318,6638,2024-09-05,Technical Support,14
319,6638,2024-09-20,Technical Support,5
320,6638,2024-10-10,Technical Support,12
321,3038,2024-08-01,Technical Support,9
322,3038,2024-08-15,Technical Support,13
323,3038,2024-09-05,Technical Support,0
324,3038,2024-09-20,Technical Support,3
325,3038,2024-10-10,Technical Support,2
326,8601,2024-08-01,Technical Support,0
327,8601,2024-08-15,Technical Support,14
328,8601,2024-09-05,Technical Support,11
329,8601,2024-09-20,Technical Support,15
330,8601,2024-10-10,Technical Support,1
331,7131,2024-08-01,Technical Support,3
332,7131,2024-08-15,Technical Support,12
333,7131,2024-09-05,Technical Support,5
334,7131,2024-09-20,Technical Support,14
335,7131,2024-10-10,Technical Support,7
336,5690,2024-08-01,Technical Support,4
337,5690,2024-08-15,Technical Support,4
