id,charger_id,date,ticket_type,support_tickets
1,7131,08/01/24,Connectivity Problem,10
2,7131,08/02/24,Connectivity Problem,6
3,7131,08/03/24,Connectivity Problem,7
4,7131,08/04/24,Connectivity Problem,8
5,7131,08/05/24,Connectivity Problem,3
6,7131,08/06/24,Connectivity Problem,7
7,7131,08/07/24,Connectivity Problem,6
8,7131,08/08/24,Connectivity Problem,0
9,7131,08/09/24,Connectivity Problem,9
10,7131,08/10/24,Connectivity Problem,0
11,7131,08/11/24,Connectivity Problem,7
12,7131,08/12/24,Connectivity Problem,0
13,7131,08/13/24,Connectivity Problem,1
14,7131,08/14/24,Connectivity Problem,4
15,7131,08/15/24,Connectivity Problem,1
16,7131,08/16/24,Connectivity Problem,1
17,7131,08/17/24,Connectivity Problem,10
18,7131,08/18/24,Connectivity Problem,10
19,7131,08/19/24,Connectivity Problem,5
20,7131,08/20/24,Connectivity Problem,6
21,7131,08/21/24,Connectivity Problem,7
22,7131,08/22/24,Connectivity Problem,9
23,7131,08/23/24,Connectivity Problem,5
24,7131,08/24/24,Connectivity Problem,4
25,7131,08/25/24,Connectivity Problem,10
26,7131,08/26/24,Connectivity Problem,0
27,7131,08/27/24,Connectivity Problem,3
28,7131,08/28/24,Connectivity Problem,2
29,7131,08/29/24,Connectivity Problem,4
30,7131,08/30/24,Connectivity Problem,6
31,7131,08/31/24,Connectivity Problem,2
32,7131,09/01/24,Connectivity Problem,3
33,7131,09/02/24,Connectivity Problem,2
34,7131,09/03/24,Connectivity Problem,0
35,7131,09/04/24,Connectivity Problem,6
36,7131,09/05/24,Connectivity Problem,3
37,7131,09/06/24,Connectivity Problem,4
38,7131,09/07/24,Connectivity Problem,8
39,7131,09/08/24,Connectivity Problem,1
40,7131,09/09/24,Connectivity Problem,10
41,7131,09/10/24,Connectivity Problem,8
42,7131,09/11/24,Connectivity Problem,2
43,7131,09/12/24,Connectivity Problem,10
44,7131,09/13/24,Connectivity Problem,2
45,7131,09/14/24,Connectivity Problem,10
46,7131,09/15/24,Connectivity Problem,10
47,7131,09/16/24,Connectivity Problem,8
48,7131,09/17/24,Connectivity Problem,4
49,7131,09/18/24,Connectivity Problem,4
50,7131,09/19/24,Connectivity Problem,0
51,7131,09/20/24,Connectivity Problem,1
52,7131,09/21/24,Connectivity Problem,4
53,7131,09/22/24,Connectivity Problem,8
54,7131,09/23/24,Connectivity Problem,3
55,7131,09/24/24,Connectivity Problem,1
56,7131,09/25/24,Connectivity Problem,6
57,7131,09/26/24,Connectivity Problem,0
58,7131,09/27/24,Connectivity Problem,4
59,7131,09/28/24,Connectivity Problem,6
60,7131,09/29/24,Connectivity Problem,2
61,7131,09/30/24,Connectivity Problem,4
62,7131,10/01/24,Connectivity Problem,4
63,7131,10/02/24,Connectivity Problem,3
64,7131,10/03/24,Connectivity Problem,9
65,7131,10/04/24,Connectivity Problem,1
66,7131,10/05/24,Connectivity Problem,4
67,7131,10/06/24,Connectivity Problem,5
68,7131,10/07/24,Connectivity Problem,4
69,7131,10/08/24,Connectivity Problem,8
70,7131,10/09/24,Connectivity Problem,1
71,7131,10/10/24,Connectivity Problem,8
72,7131,10/11/24,Connectivity Problem,3
73,7131,10/12/24,Connectivity Problem,3
74,7131,10/13/24,Connectivity Problem,10
75,7131,10/14/24,Connectivity Problem,5
76,7131,10/15/24,Connectivity Problem,8
77,7131,10/16/24,Connectivity Problem,7
78,7131,10/17/24,Connectivity Problem,5
79,7131,10/18/24,Connectivity Problem,3
80,7131,10/19/24,Connectivity Problem,10
81,7131,10/20/24,Connectivity Problem,7
82,7131,10/21/24,Connectivity Problem,4
83,7131,10/22/24,Connectivity Problem,7
84,7131,10/23/24,Connectivity Problem,8
85,7131,10/24/24,Connectivity Problem,9
86,7131,10/25/24,Connectivity Problem,3
87,7131,10/26/24,Connectivity Problem,10
88,7131,10/27/24,Connectivity Problem,6
89,7131,10/28/24,Connectivity Problem,4
90,7131,10/29/24,Connectivity Problem,6
91,7131,10/30/24,Connectivity Problem,7
92,7131,10/31/24,Connectivity Problem,1
93,9434,08/01/24,Connectivity Problem,6
94,9434,08/02/24,Connectivity Problem,6
95,9434,08/03/24,Connectivity Problem,9
96,9434,08/04/24,Connectivity Problem,7
97,9434,08/05/24,Connectivity Problem,4
98,9434,08/06/24,Connectivity Problem,0
99,9434,08/07/24,Connectivity Problem,6
100,9434,08/08/24,Connectivity Problem,10
101,9434,08/09/24,Connectivity Problem,9
102,9434,08/10/24,Connectivity Problem,4
103,9434,08/11/24,Connectivity Problem,10
104,9434,08/12/24,Connectivity Problem,9
105,9434,08/13/24,Connectivity Problem,4
106,9434,08/14/24,Connectivity Problem,3
107,9434,08/15/24,Connectivity Problem,9
108,9434,08/16/24,Connectivity Problem,6
109,9434,08/17/24,Connectivity Problem,10
110,9434,08/18/24,Connectivity Problem,4
111,9434,08/19/24,Connectivity Problem,9
112,9434,08/20/24,Connectivity Problem,4
113,9434,08/21/24,Connectivity Problem,2
114,9434,08/22/24,Connectivity Problem,4
115,9434,08/23/24,Connectivity Problem,2
116,9434,08/24/24,Connectivity Problem,9
117,9434,08/25/24,Connectivity Problem,2
118,9434,08/26/24,Connectivity Problem,3
119,9434,08/27/24,Connectivity Problem,4
120,9434,08/28/24,Connectivity Problem,7
121,9434,08/29/24,Connectivity Problem,1
122,9434,08/30/24,Connectivity Problem,5
123,9434,08/31/24,Connectivity Problem,8
124,9434,09/01/24,Connectivity Problem,4
125,9434,09/02/24,Connectivity Problem,3
126,9434,09/03/24,Connectivity Problem,3
127,9434,09/04/24,Connectivity Problem,1
128,9434,09/05/24,Connectivity Problem,5
129,9434,09/06/24,Connectivity Problem,9
130,9434,09/07/24,Connectivity Problem,7
131,9434,09/08/24,Connectivity Problem,10
132,9434,09/09/24,Connectivity Problem,8
133,9434,09/10/24,Connectivity Problem,10
134,9434,09/11/24,Connectivity Problem,0
135,9434,09/12/24,Connectivity Problem,3
136,9434,09/13/24,Connectivity Problem,8
137,9434,09/14/24,Connectivity Problem,3
138,9434,09/15/24,Connectivity Problem,6
139,9434,09/16/24,Connectivity Problem,2
140,9434,09/17/24,Connectivity Problem,3
141,9434,09/18/24,Connectivity Problem,2
142,9434,09/19/24,Connectivity Problem,6
143,9434,09/20/24,Connectivity Problem,10
144,9434,09/21/24,Connectivity Problem,7
145,9434,09/22/24,Connectivity Problem,4
146,9434,09/23/24,Connectivity Problem,6
147,9434,09/24/24,Connectivity Problem,7
148,9434,09/25/24,Connectivity Problem,10
149,9434,09/26/24,Connectivity Problem,1
150,9434,09/27/24,Connectivity Problem,9
151,9434,09/28/24,Connectivity Problem,6
152,9434,09/29/24,Connectivity Problem,6
153,9434,09/30/24,Connectivity Problem,8
154,9434,10/01/24,Connectivity Problem,5
155,9434,10/02/24,Connectivity Problem,10
156,9434,10/03/24,Connectivity Problem,3
157,9434,10/04/24,Connectivity Problem,1
158,9434,10/05/24,Connectivity Problem,0
159,9434,10/06/24,Connectivity Problem,8
160,9434,10/07/24,Connectivity Problem,2
161,9434,10/08/24,Connectivity Problem,5
162,9434,10/09/24,Connectivity Problem,10
163,9434,10/10/24,Connectivity Problem,9
164,9434,10/11/24,Connectivity Problem,5
165,9434,10/12/24,Connectivity Problem,6
166,9434,10/13/24,Connectivity Problem,1
167,9434,10/14/24,Connectivity Problem,8
168,9434,10/15/24,Connectivity Problem,0
169,9434,10/16/24,Connectivity Problem,1
170,9434,10/17/24,Connectivity Problem,7
171,9434,10/18/24,Connectivity Problem,1
172,9434,10/19/24,Connectivity Problem,0
173,9434,10/20/24,Connectivity Problem,3
174,9434,10/21/24,Connectivity Problem,10
175,9434,10/22/24,Connectivity Problem,4
176,9434,10/23/24,Connectivity Problem,6
177,9434,10/24/24,Connectivity Problem,10
178,9434,10/25/24,Connectivity Problem,9
179,9434,10/26/24,Connectivity Problem,4
180,9434,10/27/24,Connectivity Problem,1
181,9434,10/28/24,Connectivity Problem,3
182,9434,10/29/24,Connectivity Problem,4
183,9434,10/30/24,Connectivity Problem,8
184,9434,10/31/24,Connectivity Problem,2
185,8601,08/01/24,Connectivity Problem,0
