session_id,date,time,day_name,day_number,time_bin,token_id,charger_id,revenue_usd,consumption_usd,user_type,total_consumption,idle_time_post_charge,state_of_charger_upon_arrival,state_of_charge_bin,is_new,Id
386,01/01/2023,9:00 AM,Sunday,7,9:00 am,65351,7577,7.23,169.94,Residential,18.07,244,0.22,0.2,FALSE,329
7869,01/01/2023,9:00 AM,Sunday,7,9:00 am,45810,6638,3.03,60.67,Commercial,7.58,77,0.22,0.2,TRUE,1560
8696,01/01/2023,9:00 AM,Sunday,7,9:00 am,37108,2365,5.14,19.24,Residential,12.85,95,0.22,0.2,FALSE,2560
1353,01/02/2023,9:00 AM,Monday,1,9:00 am,24007,7577,5.19,43.01,Commercial,12.98,81,0.22,0.2,FALSE,1524
8203,01/02/2023,9:00 AM,Monday,1,9:00 am,29924,3038,2.9,87.35,Residential,7.26,11,0.22,0.2,FALSE,2232
9667,01/02/2023,9:00 AM,Monday,1,9:00 am,84846,7577,4.5,35.75,Taxi,11.26,22,0.22,0.2,FALSE,2243
5399,01/02/2023,9:00 AM,Monday,1,9:00 am,24007,7577,5.92,87.34,Commercial,14.79,73,0.22,0.2,FALSE,2713
1228,01/03/2023,9:00 AM,Tuesday,2,9:00 am,83893,9649,4.43,54.55,Residential,11.08,251,0.22,0.2,TRUE,790
4394,01/03/2023,9:00 AM,Tuesday,2,9:00 am,79868,6638,2.6,37.67,Commercial,6.49,53,0.22,0.2,FALSE,1913
3801,01/03/2023,9:00 AM,Tuesday,2,9:00 am,24007,1748,2.78,44.66,Residential,6.96,18,0.22,0.2,FALSE,2268
8249,01/03/2023,9:00 AM,Tuesday,2,9:00 am,64799,6638,2.15,95.39,Taxi,5.37,8,0.22,0.2,FALSE,2542
4861,01/04/2023,9:00 AM,Wednesday,3,9:00 am,45810,9434,4.22,33.28,Residential,10.54,59,0.22,0.2,TRUE,1907
4147,01/04/2023,9:00 AM,Wednesday,3,9:00 am,79868,7577,2.71,47.83,Residential,6.77,55,0.22,0.2,TRUE,2030
8913,01/04/2023,9:00 AM,Wednesday,3,9:00 am,45810,3038,3.66,49.78,Residential,9.14,102,0.22,0.2,FALSE,2622
826,01/05/2023,9:00 AM,Thursday,4,9:00 am,64799,4925,6.87,217.96,Residential,17.17,215,0.22,0.2,FALSE,360
2533,01/05/2023,9:00 AM,Thursday,4,9:00 am,64799,3038,2.52,88.35,Residential,6.31,57,0.22,0.2,TRUE,1669
2020,01/06/2023,9:00 AM,Friday,5,9:00 am,17306,7577,4.31,30.64,Residential,10.79,104,0.22,0.2,FALSE,2095
9789,01/06/2023,9:00 AM,Friday,5,9:00 am,24007,7397,2.86,72.23,Commercial,7.14,119,0.22,0.2,FALSE,2218
6855,01/06/2023,9:00 AM,Friday,5,9:00 am,37108,9434,5.01,47.57,Commercial,12.53,11,0.22,0.2,FALSE,2298
191,01/07/2023,9:00 AM,Saturday,6,9:00 am,78943,9649,4.07,281.46,Residential,10.17,165,0.22,0.2,FALSE,1083
2054,01/07/2023,9:00 AM,Saturday,6,9:00 am,73370,7397,2.09,57.87,Commercial,5.24,34,0.22,0.2,FALSE,2373
4935,01/07/2023,9:00 AM,Saturday,6,9:00 am,79868,6638,4.02,65.54,Truck,10.05,11,0.22,0.2,FALSE,2430
4032,01/07/2023,9:00 AM,Saturday,6,9:00 am,61014,7397,4.65,68.39,Commercial,11.63,104,0.22,0.2,FALSE,2535
987,01/08/2023,9:00 AM,Sunday,7,9:00 am,21854,2364,2.79,56.71,Residential,6.97,236,0.22,0.2,FALSE,1551
912,01/08/2023,9:00 AM,Sunday,7,9:00 am,23092,7397,7.7,106.7,Residential,19.25,270,0.22,0.2,TRUE,1762
1590,01/08/2023,9:00 AM,Sunday,7,9:00 am,71744,6638,6.97,290.04,Residential,17.44,252,0.22,0.2,FALSE,1649
6141,01/08/2023,9:00 AM,Sunday,7,9:00 am,29924,6638,4.35,16.82,Residential,10.88,16,0.22,0.2,FALSE,1799
1851,01/08/2023,9:00 AM,Sunday,7,9:00 am,84846,7397,5.43,71.79,Residential,13.59,56,0.22,0.2,TRUE,1900
3467,01/08/2023,9:00 AM,Sunday,7,9:00 am,29924,3038,6.3,96.82,Commercial,15.74,19,0.22,0.2,FALSE,2304
1619,01/09/2023,9:00 AM,Monday,1,9:00 am,79868,7577,2.39,221.42,Commercial,5.98,184,0.22,0.2,FALSE,315
638,01/09/2023,9:00 AM,Monday,1,9:00 am,65351,7131,5.63,296.46,Residential,14.08,142,0.22,0.2,TRUE,794
135,01/09/2023,9:00 AM,Monday,1,9:00 am,67418,7577,6.72,233.98,Commercial,16.81,135,0.22,0.2,FALSE,118
1642,01/09/2023,9:00 AM,Monday,1,9:00 am,77497,9434,7.62,33.66,Commercial,19.04,158,0.22,0.2,FALSE,1704
557,01/09/2023,9:00 AM,Monday,1,9:00 am,23092,5690,3.83,123.06,Residential,9.59,174,0.22,0.2,FALSE,783
2772,01/09/2023,9:00 AM,Monday,1,9:00 am,29924,7397,7.93,74.16,Commercial,19.83,74,0.22,0.2,FALSE,1838
4362,01/09/2023,9:00 AM,Monday,1,9:00 am,45810,1748,7.53,69.72,Residential,18.82,100,0.22,0.2,FALSE,2394
1325,01/10/2023,9:00 AM,Tuesday,2,9:00 am,67418,2364,3.53,83.35,Residential,8.82,123,0.22,0.2,FALSE,1398
1269,01/10/2023,9:00 AM,Tuesday,2,9:00 am,54686,9649,3.79,245.92,Commercial,9.47,1,0.22,0.2,FALSE,1359
1816,01/10/2023,9:00 AM,Tuesday,2,9:00 am,37108,7577,7.27,23.89,Commercial,18.17,106,0.22,0.2,FALSE,1847
3244,01/10/2023,9:00 AM,Tuesday,2,9:00 am,64799,7131,5.95,26.82,Commercial,14.86,23,0.22,0.2,FALSE,1959
1242,01/10/2023,9:00 AM,Tuesday,2,9:00 am,45810,7131,2.91,73.64,Commercial,7.26,107,0.22,0.2,FALSE,2024
312,01/11/2023,9:00 AM,Wednesday,3,9:00 am,60012,6638,3.2,92.48,Residential,8.01,62,0.22,0.2,FALSE,605
149,01/11/2023,9:00 AM,Wednesday,3,9:00 am,78943,5690,4.9,224.31,Residential,12.25,21,0.22,0.2,TRUE,648
3902,01/11/2023,9:00 AM,Wednesday,3,9:00 am,64799,7397,4.84,55.7,Residential,12.09,31,0.22,0.2,FALSE,2390
999,01/12/2023,9:00 AM,Thursday,4,9:00 am,27923,7577,2.89,252.58,Residential,7.22,131,0.22,0.2,FALSE,577
4649,01/12/2023,9:00 AM,Thursday,4,9:00 am,84846,2365,6.54,73.14,Residential,16.36,86,0.22,0.2,FALSE,2353
5467,01/12/2023,9:00 AM,Thursday,4,9:00 am,17306,9434,5.22,29.03,Residential,13.05,19,0.22,0.2,FALSE,2604
1023,1/13/2023,9:00 AM,Friday,5,9:00 am,30274,4925,2.97,280.98,Commercial,7.43,79,0.22,0.2,FALSE,206
908,1/13/2023,9:00 AM,Friday,5,9:00 am,83893,5690,2.78,119.31,Residential,6.96,157,0.22,0.2,FALSE,434
1631,1/13/2023,9:00 AM,Friday,5,9:00 am,64860,7131,2.33,58.6,Residential,5.84,327,0.22,0.2,TRUE,140
7826,1/13/2023,9:00 AM,Friday,5,9:00 am,61014,7577,3.45,38.06,Residential,8.62,101,0.22,0.2,TRUE,1755
8942,1/13/2023,9:00 AM,Friday,5,9:00 am,17306,6638,3.71,79.33,Residential,9.27,51,0.22,0.2,TRUE,2016
7057,1/13/2023,9:00 AM,Friday,5,9:00 am,17306,7397,3.5,67.71,Residential,8.74,72,0.22,0.2,FALSE,2499
3081,1/13/2023,9:00 AM,Friday,5,9:00 am,64799,7397,4.59,56.6,Commercial,11.48,26,0.22,0.2,FALSE,2735
3452,1/13/2023,9:00 AM,Friday,5,9:00 am,37108,6638,6.59,66.3,Commercial,16.47,70,0.22,0.2,FALSE,2740
1172,1/14/2023,9:00 AM,Saturday,6,9:00 am,22145,7397,3.98,191.83,Residential,9.95,103,0.22,0.2,FALSE,1501
7387,1/14/2023,9:00 AM,Saturday,6,9:00 am,24007,7131,4.54,69.14,Residential,11.34,52,0.22,0.2,TRUE,2664
1184,1/15/2023,9:00 AM,Sunday,7,9:00 am,30274,7577,6,250.5,Truck,15.01,93,0.22,0.2,TRUE,29
1609,1/15/2023,9:00 AM,Sunday,7,9:00 am,24007,4925,2.22,172.39,Residential,5.54,332,0.22,0.2,FALSE,1030
1092,1/15/2023,9:00 AM,Sunday,7,9:00 am,75193,2364,5.63,24.27,Commercial,14.09,113,0.22,0.2,FALSE,1045
