charger_id,utilization_minutes,utilization_percent,session_duration,time_between_previous_session_minutes,NumberOfSessions,UptimeSeconds,date,id,is_queued,day_name,day_number,time,time_bin,utilization_bin,revenue_usd
9434,151,0.104861111,1688,1.066666667,33,30929,08/03/2024,182,FALSE,Saturday,6,11:03:34 am,11:00 am,20,33.11002062
2365,102,0.070833333,2959,14.68333333,33,37261,09/16/24,277,FALSE,Monday,1,5:10:19 pm,5:00 pm,80,77.40204463
7577,196,0.136111111,2672,17,33,27743,10/01/2024,566,FALSE,Tuesday,2,3:50:34 am,3:00 am,40,60.30714645
9434,103,0.071527778,2775,31.98333333,33,27406,08/15/24,580,TRUE,Thursday,4,11:10:17 am,11:00 am,80,11.4736054
1748,181,0.125694444,2189,30.28333333,33,27578,08/21/24,586,FALSE,Wednesday,3,12:29:36 am,12:00 am,100,78.83080374
4925,133,0.092361111,55,28.01666667,33,29586,10/01/2024,594,FALSE,Tuesday,2,5:03:52 am,5:00 am,140,78.67280037
7131,147,0.102083333,1198,5.05,33,24781,08/13/24,675,FALSE,Tuesday,2,10:41:17 am,10:00 am,40,89.44950769
7577,142,0.098611111,788,4.766666667,33,36014,09/13/24,676,FALSE,Friday,5,10:00:28 pm,10:00 pm,80,89.58544651
7577,113,0.078472222,2851,41.98333333,33,32295,08/27/24,709,FALSE,Tuesday,2,1:59:38 pm,1:00 pm,120,39.87397855
7131,193,0.134027778,181,10.25,33,33471,08/11/2024,939,FALSE,Sunday,7,10:27:33 pm,10:00 pm,60,53.74751335
2365,135,0.09375,2942,23.2,33,32235,09/28/24,975,TRUE,Saturday,6,10:34:30 pm,10:00 pm,60,31.14918231
9434,135,0.09375,1309,4.183333333,68,26917,09/11/2024,171,FALSE,Wednesday,3,8:34:56 am,8:00 am,100,0.152215826
2365,103,0.071527778,1269,3.333333333,68,37478,08/09/2024,174,FALSE,Friday,5,10:17:18 am,10:00 am,160,84.78331337
9434,114,0.079166667,3128,22.33333333,68,29189,08/14/24,250,FALSE,Wednesday,3,11:28:27 am,11:00 am,60,68.2208596
2365,154,0.106944444,491,0.216666667,68,36709,08/01/2024,328,FALSE,Thursday,4,10:01:26 pm,10:00 pm,140,14.96645508
4925,141,0.097916667,2661,67.36666667,68,27777,08/04/2024,330,FALSE,Sunday,7,2:10:30 pm,2:00 pm,60,73.71617317
